u11,u21,u12,u22,theta(2),alpha(2),beta(2)
6,5.5,4,6,"(-1.96559,0)","(0.982794,1.97562)","(-0.741947,2.09672)"
6,5.5,4,5.5,"(-1.96559,0)","(0.982794,1.97562)","(-0.785398,2.05132)"
6,5.5,4,5,"(-1.96559,0)","(0.982794,1.97562)","(-0.832981,2.00593)"
6,5.5,4,4.5,"(-1.96559,0)","(0.982794,1.97562)","(-0.885067,1.96099)"
6,5.5,4,3.5,"(-1.96559,0)","(0.982794,1.97562)","(-1.00407,1.87475)"
6,5.5,4,1,"(-1.96559,0)","(0.982794,1.97562)","(-1.39094,1.72101)"
6,5.5,4,0.5,"(-1.96559,0)","(0.982794,1.97562)","(-1.48014,1.70886)"
6,5.5,4,0,"(-1.96559,0)","(0.982794,1.97562)","(-1.5708,1.70475)"
6,5.5,3.5,6,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-0.741947,2.09672)"
6,5.5,3.5,5.5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-0.785398,2.05132)"
6,5.5,3.5,5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-0.832981,2.00593)"
6,5.5,3.5,4,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-0.942,1.91703)"
6,5.5,3.5,3.5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-1.00407,1.87475)"
6,5.5,3.5,3,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-1.07145,1.83498)"
6,5.5,3.5,2,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-1.22203,1.76684)"
6,5.5,3.5,1.5,"(-2.08544,-1.11022e-16)","(1.04272,1.9382)","(-1.30454,1.74062)"
6,5.5,3,6,"(-2.2143,0)","(1.10715,1.90333)","(-0.741947,2.09672)"
6,5.5,3,5,"(-2.2143,0)","(1.10715,1.90333)","(-0.832981,2.00593)"
6,5.5,3,4.5,"(-2.2143,0)","(1.10715,1.90333)","(-0.885067,1.96099)"
6,5.5,3,4,"(-2.2143,0)","(1.10715,1.90333)","(-0.942,1.91703)"
6,5.5,3,3.5,"(-2.2143,0)","(1.10715,1.90333)","(-1.00407,1.87475)"
6,5.5,3,3,"(-2.2143,0)","(1.10715,1.90333)","(-1.07145,1.83498)"
6,5.5,3,2.5,"(-2.2143,0)","(1.10715,1.90333)","(-1.14417,1.79866)"
6,5.5,3,1,"(-2.2143,0)","(1.10715,1.90333)","(-1.39094,1.72101)"
6,5.5,3,0.5,"(-2.2143,0)","(1.10715,1.90333)","(-1.48014,1.70886)"
6,5.5,2.5,6,"(-2.35201,0)","(1.17601,1.8718)","(-0.741947,2.09672)"
6,5.5,2.5,5.5,"(-2.35201,0)","(1.17601,1.8718)","(-0.785398,2.05132)"
6,5.5,2.5,5,"(-2.35201,0)","(1.17601,1.8718)","(-0.832981,2.00593)"
6,5.5,2.5,4.5,"(-2.35201,0)","(1.17601,1.8718)","(-0.885067,1.96099)"
6,5.5,2.5,4,"(-2.35201,0)","(1.17601,1.8718)","(-0.942,1.91703)"
6,5.5,2.5,3.5,"(-2.35201,0)","(1.17601,1.8718)","(-1.00407,1.87475)"
6,5.5,2.5,3,"(-2.35201,0)","(1.17601,1.8718)","(-1.07145,1.83498)"
6,5.5,2.5,2.5,"(-2.35201,0)","(1.17601,1.8718)","(-1.14417,1.79866)"
6,5.5,2.5,0,"(-2.35201,0)","(1.17601,1.8718)","(-1.5708,1.70475)"
6,5.5,2,5.5,"(-2.49809,0)","(1.24905,1.84444)","(-0.785398,2.05132)"
6,5.5,2,4.5,"(-2.49809,0)","(1.24905,1.84444)","(-0.885067,1.96099)"
6,5.5,2,4,"(-2.49809,0)","(1.24905,1.84444)","(-0.942,1.91703)"
6,5.5,2,3,"(-2.49809,0)","(1.24905,1.84444)","(-1.07145,1.83498)"
6,5.5,2,2,"(-2.49809,0)","(1.24905,1.84444)","(-1.22203,1.76684)"
6,5.5,2,1,"(-2.49809,0)","(1.24905,1.84444)","(-1.39094,1.72101)"
6,5.5,2,0.5,"(-2.49809,0)","(1.24905,1.84444)","(-1.48014,1.70886)"
6,5.5,1.5,5.5,"(-2.65164,0)","(1.32582,1.82207)","(-0.785398,2.05132)"
6,5.5,1.5,5,"(-2.65164,0)","(1.32582,1.82207)","(-0.832981,2.00593)"
6,5.5,1.5,4.5,"(-2.65164,0)","(1.32582,1.82207)","(-0.885067,1.96099)"
6,5.5,1.5,2,"(-2.65164,0)","(1.32582,1.82207)","(-1.22203,1.76684)"
6,5.5,1.5,1.5,"(-2.65164,0)","(1.32582,1.82207)","(-1.30454,1.74062)"
6,5.5,1.5,0,"(-2.65164,0)","(1.32582,1.82207)","(-1.5708,1.70475)"
6,5.5,1,6,"(-2.8113,0)","(1.40565,1.80546)","(-0.741947,2.09672)"
